hevy_template_id,title,type,primary_muscle_group
20C1A3CB,Split Squat (Dumbbell),weight_reps,quadriceps
9283BABA,Sprints,distance_duration,cardio
F1258206,Squat (Band),weight_reps,quadriceps
D04AC939,Squat (Barbell),weight_reps,quadriceps
9694DA61,Squat (Bodyweight),reps_only,quadriceps
DCFF3E9F,Squat (Dumbbell),weight_reps,quadriceps
CC35A01F,Squat (Machine),weight_reps,quadriceps
DDCC3821,Squat (Smith Machine),weight_reps,quadriceps
B82D6418,Squat (Suspension),reps_only,quadriceps
A8814C06,Squat Row,weight_reps,full_body
4377A52B,Stair Machine (Floors),floors_duration,cardio
4377A52C,Stair Machine (Steps),steps_duration,cardio
ACB2751D,Standing Cable Glute Kickbacks,weight_reps,glutes
06745E58,Standing Calf Raise,reps_only,calves
E53CCBE5,Standing Calf Raise (Barbell),weight_reps,calves
6DA40660,Standing Calf Raise (Dumbbell),weight_reps,calves
E05C2C38,Standing Calf Raise (Machine),weight_reps,calves
AA52E8D2,Standing Calf Raise (Smith),weight_reps,calves
6120CAAB,Standing Leg Curls,weight_reps,hamstrings
073032BB,Standing Military Press (Barbell),weight_reps,shoulders
128A2381,Step Up,reps_only,quadriceps
EE2938D1,Sternum Pull up (Gironda),reps_only,lats
D2387AB1,Straight Arm Lat Pulldown (Cable),weight_reps,lats
2A48E443,Straight Leg Deadlift,weight_reps,hamstrings
527DA061,Stretching,duration,other
D20D7BBE,Sumo Deadlift,weight_reps,glutes
3F5F8D40,Sumo Squat,reps_only,quadriceps
6622E5A0,Sumo Squat (Barbell),weight_reps,quadriceps
05293BCA,Sumo Squat (Dumbbell),weight_reps,quadriceps
5E10D0E6,Sumo Squat (Kettlebell),weight_reps,quadriceps
218DA87C,Superman,reps_only,lower_back
B60A678F,Swimming,distance_duration,cardio
08A2974E,T Bar Row,weight_reps,upper_back
90E506D5,Thruster (Barbell),weight_reps,full_body
10313AFD,Thruster (Kettlebell),weight_reps,full_body
75BAC5C3,Toe Touch,reps_only,abdominals
B94E35E1,Toes to Bar,reps_only,abdominals
FBB62888,Torso Rotation,weight_reps,abdominals
243710DE,Treadmill,distance_duration,cardio
28BB4A95,Triceps Dip,reps_only,triceps
4B4BF8C2,Triceps Dip (Assisted),bodyweight_assisted,triceps
10347BAC,Triceps Dip (Weighted),bodyweight_weighted,triceps
2F8D3067,Triceps Extension (Barbell),weight_reps,triceps
21310F5F,Triceps Extension (Cable),weight_reps,triceps
3765684D,Triceps Extension (Dumbbell),weight_reps,triceps
3092FADD,Triceps Extension (Machine),weight_reps,triceps
6182EE83,Triceps Extension (Suspension),reps_only,triceps
EC3B69A3,Triceps Kickback (Cable),weight_reps,triceps
6127A3AD,Triceps Kickback (Dumbbell),weight_reps,triceps
CDC472B1,Triceps Pressdown,weight_reps,triceps
93A552C6,Triceps Pushdown,weight_reps,triceps
94B7239B,Triceps Rope Pushdown,weight_reps,triceps
7AB9A362,Upright Row (Barbell),weight_reps,shoulders
286C1D0B,Upright Row (Cable),weight_reps,shoulders
797F0782,Upright Row (Dumbbell),weight_reps,shoulders
6BE68B62,V Up,reps_only,abdominals
72880C57,Vertical Traction (Machine),weight_reps,lats
72297E8C,Waiter Curl (Dumbbell),weight_reps,biceps
33EDD7DB,Walking,distance_duration,cardio
32HKJ34K,Walking Lunge,reps_only,quadriceps
A733CC5B,Walking Lunge (Dumbbell),short_distance_weight,quadriceps
F30A4F01,Walking Lunge (Sandbag),short_distance_weight,quadriceps
A1F47ACC,Wall Ball,weight_reps,full_body
C8706C80,Wall Sit,duration,quadriceps
79EF4E4F,Warm Up,duration,full_body
7C50F118,Wide Pull Up,reps_only,lats
B31EB524,Wide-Elbow Triceps Press (Dumbbell),weight_reps,triceps
0E4523F4,Wrist Roller,weight_reps,forearms
8C9D2928,Yoga,duration,full_body
40C6A9FC,Zercher Squat,weight_reps,quadriceps
123EE239,Zottman Curl (Dumbbell),weight_reps,biceps
